retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
05/03/2023 07:15,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,29,1010,55,2.26,192
05/04/2023 01:20,TH-52,Hang Chat,Lampang,Thailand,101,p2,25,1009,83,0.41,208
05/04/2023 01:20,TH-50,Chiang Mai,Chiang Mai,Thailand,61,p2,27,991,77,2.06,330
05/04/2023 02:15,TH-11,Bang Phli,Samut Prakan,Thailand,25,p2,30,1008,74,4.12,200
05/04/2023 02:15,TH-10,Phra Nakhon,Bangkok,Thailand,63,p2,30,1007,28,4.22,192
05/04/2023 02:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,31,p2,30,1008,64,3.6,200
05/04/2023 02:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,57,p2,29,1007,70,2.29,196
05/04/2023 02:17,TH-13,Khlong Luang,Pathum Thani,Thailand,21,p2,30,1008,84,3.6,200
05/04/2023 02:18,TH-16,Ban Mi,Lop Buri,Thailand,99,p2,30,1007,72,2.39,195
05/04/2023 02:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,30,1007,72,1.82,199
05/04/2023 02:19,TH-21,Ban Khai,Rayong,Thailand,51,p2,27,1008,86,2.38,202
05/04/2023 02:19,TH-20,Na Kluea,Chon Buri,Thailand,29,p2,26,1008,79,4.28,196
05/04/2023 02:20,TH-52,Hang Chat,Lampang,Thailand,90,p2,24,1008,83,0.3,267
05/04/2023 02:20,TH-50,Chiang Mai,Chiang Mai,Thailand,58,p2,25,1010,73,1.03,0
05/04/2023 03:15,TH-11,Bang Phli,Samut Prakan,Thailand,29,p2,30,1007,74,2.57,220
05/04/2023 03:15,TH-10,Phra Nakhon,Bangkok,Thailand,63,p2,30,1007,57,4.08,187
05/04/2023 03:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,31,p2,30,1008,75,3.09,210
05/04/2023 03:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,59,p2,28,1007,71,1.96,183
05/04/2023 03:17,TH-13,Khlong Luang,Pathum Thani,Thailand,19,p2,30,1008,88,3.09,210
05/04/2023 03:18,TH-16,Ban Mi,Lop Buri,Thailand,99,p2,30,1007,74,2.26,183
05/04/2023 03:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,29,1007,73,2.01,179
05/04/2023 03:19,TH-21,Ban Khai,Rayong,Thailand,51,p2,28,1008,88,1.87,213
05/04/2023 03:19,TH-20,Na Kluea,Chon Buri,Thailand,29,p2,27,1008,79,3.93,192
05/04/2023 03:20,TH-52,Hang Chat,Lampang,Thailand,96,p2,24,1008,83,0.64,342
05/04/2023 03:20,TH-50,Chiang Mai,Chiang Mai,Thailand,57,p2,25,1010,73,2.06,30
05/04/2023 04:15,TH-11,Bang Phli,Samut Prakan,Thailand,29,p2,29,1007,79,2.57,210
05/04/2023 04:15,TH-10,Phra Nakhon,Bangkok,Thailand,63,p2,30,1007,58,3.96,184
05/04/2023 04:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,37,p2,30,1008,75,2.57,220
05/04/2023 04:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,57,p2,27,1007,72,2.24,166
05/04/2023 04:17,TH-13,Khlong Luang,Pathum Thani,Thailand,21,p2,30,1008,89,2.57,220
05/04/2023 04:18,TH-16,Ban Mi,Lop Buri,Thailand,87,p2,30,1007,75,2.2,168
05/04/2023 04:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,29,1007,75,2.38,163
05/04/2023 04:19,TH-21,Ban Khai,Rayong,Thailand,21,p2,29,1009,88,1.63,222
05/04/2023 04:19,TH-20,Na Kluea,Chon Buri,Thailand,34,p2,28,1008,80,3.83,194
05/04/2023 04:20,TH-52,Hang Chat,Lampang,Thailand,151,p2,24,1008,83,0.89,345
05/04/2023 04:20,TH-50,Chiang Mai,Chiang Mai,Thailand,61,p2,23,1010,83,2.57,350
05/04/2023 05:15,TH-11,Bang Phli,Samut Prakan,Thailand,27,p2,29,1008,79,2.57,200
05/04/2023 05:15,TH-10,Phra Nakhon,Bangkok,Thailand,63,p2,30,1008,58,3.92,181
05/04/2023 05:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,35,p2,30,1008,76,1.54,200
05/04/2023 05:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,63,p2,27,1008,73,2.59,155
05/04/2023 05:17,TH-13,Khlong Luang,Pathum Thani,Thailand,21,p2,30,1008,89,1.54,200
05/04/2023 05:18,TH-16,Ban Mi,Lop Buri,Thailand,87,p2,30,1007,76,2.24,162
05/04/2023 05:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,29,1008,76,2.42,153
05/04/2023 05:19,TH-21,Ban Khai,Rayong,Thailand,29,p2,27,1009,99,1.57,218
05/04/2023 05:19,TH-20,Na Kluea,Chon Buri,Thailand,25,p2,27,1008,80,3.41,199
05/04/2023 05:20,TH-52,Hang Chat,Lampang,Thailand,149,p2,24,1008,83,0.84,335
05/04/2023 05:20,TH-50,Chiang Mai,Chiang Mai,Thailand,63,p2,23,1010,83,2.06,350
05/04/2023 06:15,TH-11,Bang Phli,Samut Prakan,Thailand,31,p2,29,1008,79,2.06,200
05/04/2023 06:15,TH-10,Phra Nakhon,Bangkok,Thailand,63,p2,30,1008,59,3.78,178
05/04/2023 06:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,33,p2,30,1008,77,1.54,120
05/04/2023 06:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,72,p2,27,1008,74,2.59,151
05/04/2023 06:17,TH-13,Khlong Luang,Pathum Thani,Thailand,37,p2,29,1009,90,1.54,120
05/04/2023 06:18,TH-16,Ban Mi,Lop Buri,Thailand,87,p2,30,1008,77,2.34,160
05/04/2023 06:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,97,p2,29,1008,77,2.59,148
05/04/2023 06:19,TH-21,Ban Khai,Rayong,Thailand,29,p2,27,1010,99,1.48,217
05/04/2023 06:19,TH-20,Na Kluea,Chon Buri,Thailand,25,p2,27,1009,80,3.5,195
05/04/2023 06:20,TH-52,Hang Chat,Lampang,Thailand,151,p2,24,1009,83,0.39,311
05/04/2023 06:20,TH-50,Chiang Mai,Chiang Mai,Thailand,67,p2,23,1010,83,0.51,0
05/04/2023 07:15,TH-11,Bang Phli,Samut Prakan,Thailand,39,p2,30,1009,74,2.57,180
05/04/2023 07:15,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,30,1009,59,3.88,186
05/04/2023 07:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,37,p2,30,1009,76,2.06,140
05/04/2023 07:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,85,p2,28,1009,69,3.27,165
