retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/5/2023 12:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,134,p2,35,1007,44,3.09,170
5/5/2023 12:20:37,TH-52,Hang Chat,Lampang,Thailand,138,p2,38,1004,27,1.99,225
5/5/2023 13:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,39,1003,35,3.91,180
5/5/2023 13:16:00,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,36,1006,55,5.14,180
5/5/2023 13:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,55,p2,38,1005,39,4.63,230
5/5/2023 13:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,45,p2,39,1005,60,4.63,230
5/5/2023 13:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1003,30,3.71,211
5/5/2023 13:18:04,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,37,1003,31,3.65,206
5/5/2023 13:18:35,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,37,1003,33,3.09,222
5/5/2023 13:19:05,TH-20,Na Kluea,Chon Buri,Thailand,72,p2,34,1005,60,5.18,216
5/5/2023 13:19:37,TH-21,Ban Khai,Rayong,Thailand,42,p2,35,1006,61,5.2,189
5/5/2023 13:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,128,p2,36,1006,41,3.09,190
