retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/3/2023 14:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,45,p2,36,1009,44,4.63,230
5/3/2023 14:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,79,p2,38,1009,45,4.12,220
5/3/2023 14:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,55,p2,38,1008,65,4.12,220
5/3/2023 14:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,63,p2,36,1007,34,3.39,136
5/3/2023 14:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,76,p2,36,1007,35,3.21,138
5/3/2023 14:18:33,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,38,1007,33,1.9,173
5/3/2023 14:19:04,TH-20,Na Kluea,Chon Buri,Thailand,42,p2,33,1009,64,3.75,210
5/3/2023 14:19:35,TH-21,Ban Khai,Rayong,Thailand,38,p2,34,1010,55,3.88,186
5/3/2023 14:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,90,p2,36,985,47,2.06,0
5/3/2023 14:20:37,TH-52,Hang Chat,Lampang,Thailand,157,p2,38,1008,44,0.47,129
